0 [11, 9, 3, 7, 0, 2, 6, 4, 10, 1, 5, 8]
b [11, 0, 3, 7, 9, 2, 6, 4, 10, 1, 5, 8]
f [11, 2, 3, 7, 9, 0, 6, 4, 10, 1, 5, 8]
a [0, 2, 3, 7, 9, 11, 6, 4, 10, 1, 5, 8]
e [9, 2, 3, 7, 0, 11, 6, 4, 10, 1, 5, 8]
j [9, 2, 3, 7, 1, 11, 6, 4, 10, 0, 5, 8]
k [9, 2, 3, 7, 1, 11, 6, 4, 10, 5, 0, 8]
f [9, 2, 3, 7, 1, 0, 6, 4, 10, 5, 11, 8]
a [0, 2, 3, 7, 1, 9, 6, 4, 10, 5, 11, 8]
e [1, 2, 3, 7, 0, 9, 6, 4, 10, 5, 11, 8]
j [1, 2, 3, 7, 5, 9, 6, 4, 10, 0, 11, 8]
i [1, 2, 3, 7, 5, 9, 6, 4, 0, 10, 11, 8]
f [1, 2, 3, 7, 5, 0, 6, 4, 9, 10, 11, 8]
g [1, 2, 3, 7, 5, 6, 0, 4, 9, 10, 11, 8]
d [1, 2, 3, 0, 5, 6, 7, 4, 9, 10, 11, 8]
h [1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8]
l [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0]
